2024-07-23 14:02:49,179 INFO    MainThread:91007 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-07-23 14:02:49,180 INFO    MainThread:91007 [wandb_setup.py:_flush():76] Configure stats pid to 91007
2024-07-23 14:02:49,180 INFO    MainThread:91007 [wandb_setup.py:_flush():76] Loading settings from /Users/ravivayuvegula/.config/wandb/settings
2024-07-23 14:02:49,180 INFO    MainThread:91007 [wandb_setup.py:_flush():76] Loading settings from /Users/ravivayuvegula/PycharmProjects/mistral_finetune_cma/wandb/settings
2024-07-23 14:02:49,180 INFO    MainThread:91007 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-23 14:02:49,180 INFO    MainThread:91007 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-23 14:02:49,180 INFO    MainThread:91007 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'multi_llm_responses.py', 'program_abspath': '/Users/ravivayuvegula/PycharmProjects/mistral_finetune_cma/multi_llm_responses.py', 'program': '/Users/ravivayuvegula/PycharmProjects/mistral_finetune_cma/multi_llm_responses.py'}
2024-07-23 14:02:49,180 INFO    MainThread:91007 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-23 14:02:49,180 INFO    MainThread:91007 [wandb_init.py:_log_setup():529] Logging user logs to /Users/ravivayuvegula/PycharmProjects/mistral_finetune_cma/wandb/run-20240723_140249-y8k9jghx/logs/debug.log
2024-07-23 14:02:49,181 INFO    MainThread:91007 [wandb_init.py:_log_setup():530] Logging internal logs to /Users/ravivayuvegula/PycharmProjects/mistral_finetune_cma/wandb/run-20240723_140249-y8k9jghx/logs/debug-internal.log
2024-07-23 14:02:49,181 INFO    MainThread:91007 [wandb_init.py:init():569] calling init triggers
2024-07-23 14:02:49,181 INFO    MainThread:91007 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-23 14:02:49,181 INFO    MainThread:91007 [wandb_init.py:init():619] starting backend
2024-07-23 14:02:49,181 INFO    MainThread:91007 [wandb_init.py:init():623] setting up manager
2024-07-23 14:02:49,185 INFO    MainThread:91007 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-07-23 14:02:49,188 INFO    MainThread:91007 [wandb_init.py:init():631] backend started and connected
2024-07-23 14:02:49,193 INFO    MainThread:91007 [wandb_init.py:init():720] updated telemetry
2024-07-23 14:02:49,245 INFO    MainThread:91007 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-23 14:02:49,637 INFO    MainThread:91007 [wandb_run.py:_on_init():2435] communicating current version
2024-07-23 14:02:49,831 INFO    MainThread:91007 [wandb_run.py:_on_init():2444] got version response 
2024-07-23 14:02:49,832 INFO    MainThread:91007 [wandb_init.py:init():804] starting run threads in backend
2024-07-23 14:02:50,407 INFO    MainThread:91007 [wandb_run.py:_console_start():2413] atexit reg
2024-07-23 14:02:50,407 INFO    MainThread:91007 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2024-07-23 14:02:50,407 INFO    MainThread:91007 [wandb_run.py:_redirect():2320] Wrapping output streams.
2024-07-23 14:02:50,407 INFO    MainThread:91007 [wandb_run.py:_redirect():2345] Redirects installed.
2024-07-23 14:02:50,409 INFO    MainThread:91007 [wandb_init.py:init():847] run started, returning control to user process
