2024-07-23 18:45:50,612 INFO    MainThread:95000 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-07-23 18:45:50,613 INFO    MainThread:95000 [wandb_setup.py:_flush():76] Configure stats pid to 95000
2024-07-23 18:45:50,613 INFO    MainThread:95000 [wandb_setup.py:_flush():76] Loading settings from /Users/ravivayuvegula/.config/wandb/settings
2024-07-23 18:45:50,613 INFO    MainThread:95000 [wandb_setup.py:_flush():76] Loading settings from /Users/ravivayuvegula/PycharmProjects/mistral_finetune_cma/wandb/settings
2024-07-23 18:45:50,613 INFO    MainThread:95000 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-23 18:45:50,613 INFO    MainThread:95000 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-23 18:45:50,613 INFO    MainThread:95000 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'multi_llm_responses.py', 'program_abspath': '/Users/ravivayuvegula/PycharmProjects/mistral_finetune_cma/multi_llm_responses.py', 'program': '/Users/ravivayuvegula/PycharmProjects/mistral_finetune_cma/multi_llm_responses.py'}
2024-07-23 18:45:50,613 INFO    MainThread:95000 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-23 18:45:50,613 INFO    MainThread:95000 [wandb_init.py:_log_setup():529] Logging user logs to /Users/ravivayuvegula/PycharmProjects/mistral_finetune_cma/wandb/run-20240723_184550-o41isz3z/logs/debug.log
2024-07-23 18:45:50,613 INFO    MainThread:95000 [wandb_init.py:_log_setup():530] Logging internal logs to /Users/ravivayuvegula/PycharmProjects/mistral_finetune_cma/wandb/run-20240723_184550-o41isz3z/logs/debug-internal.log
2024-07-23 18:45:50,613 INFO    MainThread:95000 [wandb_init.py:init():569] calling init triggers
2024-07-23 18:45:50,614 INFO    MainThread:95000 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-23 18:45:50,614 INFO    MainThread:95000 [wandb_init.py:init():619] starting backend
2024-07-23 18:45:50,614 INFO    MainThread:95000 [wandb_init.py:init():623] setting up manager
2024-07-23 18:45:50,617 INFO    MainThread:95000 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-07-23 18:45:50,619 INFO    MainThread:95000 [wandb_init.py:init():631] backend started and connected
2024-07-23 18:45:50,625 INFO    MainThread:95000 [wandb_init.py:init():720] updated telemetry
2024-07-23 18:45:50,678 INFO    MainThread:95000 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-23 18:45:51,062 INFO    MainThread:95000 [wandb_run.py:_on_init():2435] communicating current version
2024-07-23 18:45:51,250 INFO    MainThread:95000 [wandb_run.py:_on_init():2444] got version response 
2024-07-23 18:45:51,250 INFO    MainThread:95000 [wandb_init.py:init():804] starting run threads in backend
2024-07-23 18:45:51,818 INFO    MainThread:95000 [wandb_run.py:_console_start():2413] atexit reg
2024-07-23 18:45:51,818 INFO    MainThread:95000 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2024-07-23 18:45:51,818 INFO    MainThread:95000 [wandb_run.py:_redirect():2320] Wrapping output streams.
2024-07-23 18:45:51,818 INFO    MainThread:95000 [wandb_run.py:_redirect():2345] Redirects installed.
2024-07-23 18:45:51,820 INFO    MainThread:95000 [wandb_init.py:init():847] run started, returning control to user process
2024-07-23 18:46:14,142 WARNING MsgRouterThr:95000 [router.py:message_loop():77] message_loop has been closed
